order_id,order_date,store_id,product_id,product_name,category,quantity,unit_price,discount_amount,sales_amount,payment_method,customer_type
ORD20250801000001,2025-08-01,S001,P001,Americano,Beverage,1,4500,0,4500,Credit Card,Member
ORD20250801000002,2025-08-01,S001,P007,Red Bean Bun,Bakery,1,3500,0,3500,Cash,Member
ORD20250801000003,2025-08-01,S001,P004,Strawberry Ade,Beverage,1,6500,0,6500,Credit Card,Member
ORD20250801000004,2025-08-01,S001,P002,Cafe Latte,Beverage,1,5200,0,5200,Mobile Pay,Member
ORD20250801000005,2025-08-01,S001,P007,Red Bean Bun,Bakery,1,3500,0,3500,Mobile Pay,Member
ORD20250801000006,2025-08-01,S002,P006,Salt Bread,Bakery,1,3800,0,3800,Mobile Pay,Member
ORD20250801000007,2025-08-01,S002,P007,Red Bean Bun,Bakery,1,3500,0,3500,Credit Card,Member
ORD20250801000008,2025-08-01,S002,P006,Salt Bread,Bakery,1,3800,380,3420,Credit Card,Member
ORD20250801000009,2025-08-01,S002,P006,Salt Bread,Bakery,2,3800,0,7600,Mobile Pay,Member
ORD20250801000010,2025-08-01,S002,P002,Cafe Latte,Beverage,1,5200,520,4680,Credit Card,Member
ORD20250801000011,2025-08-01,S002,P001,Americano,Beverage,1,4500,0,4500,Mobile Pay,Member
ORD20250801000012,2025-08-01,S002,P001,Americano,Beverage,1,4500,0,4500,Mobile Pay,Member
ORD20250801000013,2025-08-01,S002,P005,Butter Croissant,Bakery,1,4200,0,4200,Credit Card,Guest
ORD20250801000014,2025-08-01,S002,P008,Basque Cheesecake,Dessert,1,6900,0,6900,Mobile Pay,Member
ORD20250801000015,2025-08-01,S003,P001,Americano,Beverage,1,4500,0,4500,Credit Card,Guest
ORD20250801000016,2025-08-01,S003,P001,Americano,Beverage,1,4500,0,4500,Mobile Pay,Member
ORD20250801000017,2025-08-01,S003,P001,Americano,Beverage,1,4500,0,4500,Credit Card,Member
